Parcela,Gota
A1,1.0779
A2,1.0758
A3,1.0644
A5,1.083
A6,1.0835
A7,1.0912
A8,1.0833
A9,1.09
A10,1.0467
A11,1.0823
A12,1.0811
A13,1.0798
A14,1.0807
A15,1.0843
A16,1.0877
A17,1.0867
A18,1.0968
A19,1.0964
A20,1.0947
A21,1.1049
A22,1.0807
A23,1.0661
A24,1.0735
A25,1.0701
A26,1.0881
A27,1.0834
A28,1.0794
A29,1.0781
A30,1.0945
A31,1.0895
A34,1.0764
A35,1.0898
A36,1.0951
A37,1.0831
A38,1.0802
A39,1.08
A40,1.0656
A41,1.0713
A42,1.0857
A43,1.0815
A44,1.0935
A45,1.0756
A46,1.0894
A47,1.0877
A48,1.0781
A49,1.0829
A50,1.0769
A51,1.0759
A52,1.0758
A53,1.0706
A54,1.085
A55,1.0615
A56,1.0654
A57,1.0706
A58,1.0543
A60,1.0788
A62,1.0716
A63,1.0762
A65,1.0592
A67,1.0787
A68,1.075
A69,1.0696
A70,0
A71,0
A72,1.0675
A73,1.0677
A74,0
A75,0
A76,0
A77,0
A78,0
A80,0
A81,1.0822
A82,1.0836
A83,1.0826
A84,1.0684
A85,1.0882
A86,1.0614
A87,1.0768
A88,1.0843
A89,1.0706
A90,1.0825
A91,0
A92,1.0439
A93,1.0703
A94,1.069
A95,1.0497
A96,0
A97,1.0726
A98,1.0564
A99,1.0594
A100,1.0685
A101,0
A104,1.0592
A107,1.0829
A108,1.0464
A109,1.0597
A110,1.0726
A112,1.0817
A113,1.0676
A115,1.0858
A116,1.0856
A117,1.0828
A118,1.0717
A119,1.088
A120,1.0804
A121,1.0907
A122,1.0906
A123,1.0691
A124,1.0872
A125,1.075
A126,1.0927
A127,1.0741
A128,1.0806
A129,1.0634
A130,1.083
A131,1.0748
A132,1.0902
A133,1.0735
A134,1.0759
A136,1.0835
A137,1.0842
A138,1.0746
A139,1.0789
A140,1.0775
A141,1.0953
A142,1.0876
A143,1.0747
A144,1.0749
A146,1.0758
A148,1.0766
A149,1.099
A150,1.0829
A152,1.073
A154,1.0626
A155,1.0774
A156,1.0691
A157,1.0541
A158,1.0559
A160,1.0701
A163,1.0744
A164,1.075
A166,1.0721
A167,1.0807
A168,1.0972
A169,1.0911
A171,1.0961
A172,1.0922
A173,1.0778
A174,1.0968
A175,1.072
A176,1.0757
A177,1.0797
A178,1.0743
A179,1.0938
A180,1.0782
A181,1.0813
A182,1.0862
A184,1.1012
A185,1.1045
A186,1.1063
A188,1.0931
A189,1.0914
A190,1.0989
A191,1.0965
A193,1.0749
A194,1.0592
A195,1.0597
A196,1.0703
A198,1.0867
A199,1.072
A200,1.0811
A201,1.0828
A202,1.0927
A203,1.0815
A204,1.0865
A205,1.1164
A206,1.1036
A207,1.1018
A208,1.0788
A209,1.09
A210,1.078
A211,1.0843
A212,1.077
A213,1.0688
A214,1.0902
A215,1.0839
A216,1.0968
A217,1.0988
A218,1.0787
A219,1.0894
A220,1.0687
A221,1.0916
A222,1.0726
A225,1.0798
A226,1.0862
A227,1.0881
A228,1.0652
A229,1.067
A232,1.0752
A233,1.087
A234,1.0886
A235,1.056
A236,1.0832
A237,1.0959
A238,1.0822
A239,1.0669
A240,1.0718
A241,1.069
A242,1.0778
A243,1.0747
A244,1.0983
A245,1.0604
A246,1.1081
A247,1.1066
A248,1.0812
A249,1.0929
A250,1.0835
A251,0
A252,1.0616
A253,1.0788
A254,1.0995
A255,1.1025
A256,1.1096
A257,1.0981
A258,1.0936
A259,1.0891
A260,1.0831
A261,1.107
A262,1.0944
A263,1.0887
A265,1.0948
A266,1.0987
A267,1.0793
A268,1.095
A271,1.0952
A272,1.0802
A273,0
A274,1.0841
A275,1.09
A276,1.0984
A277,1.0916
A278,1.0955
A279,1.095
A282,1.1063
A283,1.0931
A284,1.0917
A285,1.085
A286,1.1147
A288,1.0842
A289,1.0953
A290,1.0922
A291,1.0885
A292,1.0775
A293,1.0677
A294,1.0718
A295,1.0837
A296,1.0697
A297,1.0687
A298,1.0723
A299,1.0967
A300,1.0882
A302,1.0919
A303,1.0993
A304,1.0997
A305,1.0749
A306,1.0967
A307,1.0903
