sample	K1	K2	K3	K4	K5
And_1	0.7226	0	0	0.1734	0.1041
And_2	0.0097	0.0003	0	0.9893	0.0007
And_3	0.0637	0.2156	0.2356	0.4662	0.019
And_5	0	0.0003	0	0.9997	0
And_6	0	0.0003	0	0.9997	0
And_7	0	0.7463	0.0003	0.2533	0
And_8	0	0.2255	0.3238	0.4503	0.0003
And_9	0	0.2235	0.3251	0.4511	0.0003
And_10	0.877	0.0223	0.0013	0.0993	0
And_11	0.0306	0.1302	0.1169	0.6522	0.07
And_12	0.0273	0.1313	0.122	0.652	0.0673
And_13	0	1	0	0	0
And_14	0.3333	0	0	0	0.6667
And_15	0.2033	0.0783	0.0596	0.6035	0.0553
And_16	0.8787	0.0227	0.0013	0.0973	0
And_17	0.1319	0.099	0.1113	0.6398	0.018
And_18	0	0.333	0.667	0	0
And_19	0.8773	0.0223	0.002	0.0983	0
And_20	0.6375	0.0003	0.0007	0.2508	0.1107
And_21	0.0003	0.2833	0.369	0.347	0.0003
And_22	0.7007	0.0003	0	0.1953	0.1037
And_23	0.1703	0.4727	0.0437	0.265	0.0483
And_24	0.3343	0.0003	0	0.0013	0.664
And_25	0.0297	0.1928	0.2742	0.4957	0.0077
And_26	0.3333	0	0	0	0.6667
And_27	0.0067	0.3341	0.2578	0.3981	0.0033
And_28	0.156	0.1183	0.1383	0.587	0.0003
And_29	0.1594	0.1201	0.1338	0.5864	0.0003
And_30	0	0.3333	0.6667	0	0
And_31	0.3333	0	0	0	0.6667
And_32	0.8656	0.001	0	0.0684	0.065
And_34	0.2487	0.1313	0.0367	0.166	0.4173
And_35	0.037	0.1828	0.1907	0.5895	0
And_36	0.666	0.0003	0.0003	0	0.3333
And_37	0	0.3333	0.6667	0	0
And_38	0	0.3333	0.6667	0	0
And_39	0.666	0.0003	0.0003	0	0.3333
And_40	0.114	0.2642	0.1394	0.3239	0.1585
And_41	0.035	0.1217	0.1267	0.696	0.0207
And_42	0	0.355	0.2747	0.3703	0
And_43	0.3333	0	0	0	0.6667
And_44	0.9046	0.025	0.0611	0.0093	0
And_45	0.2482	0.132	0.037	0.166	0.4167
And_46	0.0277	0.2704	0.2886	0.413	0.0003
And_47	0.144	0.1063	0.1147	0.6276	0.0073
And_48	0.144	0.1094	0.1164	0.6235	0.0067
And_49	0	0.0003	0	0.9997	0
