Parcela	No de Colección	Año	Localidad	RaG	GE	CA
And_1	CCC 16.2	1997	San Jorge	6.4489	1.0779	4
And_2	CCC 27	1997	San Jorge	5.4953	1.0758	3
And_3	CCC 38	1997	San Jorge	5.5607	1.0644	3
And_4	CCC 38.A	1997	San Jorge	7.59	1.0845	3
And_5	CCC 39	1997	San Jorge	6.568	1.083	2
And_6	CCC 46.A	1997	San Jorge	6.053	1.0835	3
And_7	CCC 60	1997	San Jorge	7.3949	1.0912	3
And_8	CCC 61	1997	San Jorge	6.9159	1.0833	3
And_9	CCC 85	1997	San Jorge	5.4361	1.09	3
And_10	CCC 105	1997	San Jorge	7.4455	1.0467	3
And_11	CCC 107	1997	San Jorge	5.343	1.0823	3
And_12	CCC 107.A 	1997	San Jorge	6.466	1.0811	2
And_13	CCC 114.1	1997	San Jorge	6.8629	1.0798	2
And_14	CCC 129	1997	San Jorge	5.1869	1.0807	3
And_15	CCC 140	1997	San Jorge	5.5794	1.0843	3
And_16	CCC 155	1997	San Jorge	6.9782	1.0877	2
And_17	CCC 156	1997	San Jorge	6.4704	1.0867	3
And_18	CCC 168	1997	San Jorge	6.053	1.0968	3
And_19	CCC 169	1997	San Jorge	7.5078	1.0964	3
And_20	CCC 178	1997	San Jorge	6.4673	1.0947	3
And_21	CCC 190	1997	San Jorge	5.6006	1.1049	3
And_22	CCC 198.1	1997	San Jorge	6.0498	1.0807	3
And_23	CCC 203	1997	San Jorge	5.0654	1.0661	3
And_24	CCC 204	1997	San Jorge	7.758	1.0735	3
And_25	CCC 204.A	1997	San Jorge	6.4081	1.0701	3
And_26	CCC 205.A	1997	San Jorge	7.2928	1.0881	3
And_27	CCC 206	1997	San Jorge	6.3396	1.0834	3
And_28	CCC 214	1997	San Jorge	5.8255	1.0794	3
And_29	CCC 214.1	1997	San Jorge	6.0623	1.0781	3
And_30	CCC 216.A 	1997	San Jorge	8.4455	1.0945	2
And_31	CCC 224 	1997	San Jorge	6.5981	1.0895	3
And_34	CCC 263	1997	San Jorge	5.0935	1.0764	3
