FID	IID	BLIGHT
0	1	1.0779
0	2	1.0758
0	3	1.0644
0	5	1.083
0	6	1.0835
0	7	1.0912
0	8	1.0833
0	9	1.09
0	10	1.0467
0	11	1.0823
0	12	1.0811
0	13	1.0798
0	14	1.0807
0	15	1.0843
0	16	1.0877
0	17	1.0867
0	18	1.0968
0	19	1.0964
0	20	1.0947
0	21	1.1049
0	22	1.0807
0	24	1.0735
0	25	1.0701
0	26	1.0881
0	27	1.0834
0	28	1.0794
0	29	1.0781
0	30	1.0945
0	31	1.0895
0	34	1.0764
0	35	1.0898
0	36	1.0951
0	37	1.0831
0	38	1.0802
0	39	1.08
0	40	1.0656
0	41	1.0713
0	42	1.0857
0	43	1.0815
0	44	1.0935
0	45	1.0756
0	46	1.0894
0	47	1.0877
0	48	1.0781
0	49	1.0829
0	50	1.0769
0	51	1.0759
0	53	1.0706
0	54	1.085
0	55	1.0615
0	56	1.0654
0	57	1.0706
0	58	1.0543
0	60	1.0788
0	62	1.0716
0	63	1.0762
0	65	1.0592
0	67	1.0787
0	68	1.075
0	69	1.0696
0	70	0
0	71	0
0	72	1.0675
0	73	1.0677
0	74	0
0	75	0
0	76	0
0	78	0
0	80	0
0	81	1.0822
0	82	1.0836
0	83	1.0826
0	84	1.0684
0	85	1.0882
0	86	1.0614
0	87	1.0768
0	88	1.0843
0	89	1.0706
0	90	1.0825
0	91	0
0	92	1.0439
0	93	1.0703
0	94	1.069
0	95	1.0497
0	96	0
0	97	1.0726
0	98	1.0564
0	99	1.0594
0	100	1.0685
0	101	0
0	104	1.0592
0	107	1.0829
0	109	1.0597
0	110	1.0726
0	112	1.0817
0	113	1.0676
0	115	1.0858
0	116	1.0856
0	117	1.0828
0	118	1.0717
0	119	1.088
0	120	1.0804
0	121	1.0907
0	122	1.0906
0	123	1.0691
0	124	1.0872
0	125	1.075
0	126	1.0927
0	127	1.0741
0	128	1.0806
0	129	1.0634
0	130	1.083
0	131	1.0748
0	132	1.0902
0	133	1.0735
0	134	1.0759
0	136	1.0835
0	138	1.0746
0	139	1.0789
0	140	1.0775
0	141	1.0953
0	142	1.0876
0	143	1.0747
0	144	1.0749
0	146	1.0758
0	148	1.0766
0	149	1.099
0	152	1.073
0	154	1.0626
0	155	1.0774
0	156	1.0691
0	157	1.0541
0	158	1.0559
0	160	1.0701
0	163	1.0744
0	164	1.075
0	166	1.0721
0	167	1.0807
0	168	1.0972
0	169	1.0911
0	171	1.0961
0	172	1.0922
0	173	1.0778
0	174	1.0968
0	175	1.072
0	176	1.0757
0	177	1.0797
0	178	1.0743
0	179	1.0938
0	180	1.0782
0	181	1.0813
0	182	1.0862
0	184	1.1012
0	185	1.1045
0	186	1.1063
0	188	1.0931
0	189	1.0914
0	190	1.0989
0	191	1.0965
0	193	1.0749
0	194	1.0592
0	195	1.0597
0	196	1.0703
0	198	1.0867
0	199	1.072
0	200	1.0811
0	201	1.0828
0	202	1.0927
0	203	1.0815
0	204	1.0865
0	205	1.1164
0	206	1.1036
0	207	1.1018
0	208	1.0788
0	209	1.09
0	210	1.078
0	211	1.0843
0	212	1.077
0	213	1.0688
0	214	1.0902
0	215	1.0839
0	216	1.0968
0	217	1.0988
0	218	1.0787
0	219	1.0894
0	220	1.0687
0	221	1.0916
0	222	1.0726
0	225	1.0798
0	226	1.0862
0	227	1.0881
0	228	1.0652
0	229	1.067
0	232	1.0752
0	233	1.087
0	234	1.0886
0	235	1.056
0	236	1.0832
0	237	1.0959
0	238	1.0822
0	239	1.0669
0	240	1.0718
0	241	1.069
0	242	1.0778
0	243	1.0747
0	244	1.0983
0	245	1.0604
0	246	1.1081
0	247	1.1066
0	248	1.0812
0	249	1.0929
0	250	1.0835
0	251	0
0	252	1.616
0	253	1.0788
0	254	1.0995
0	255	1.1025
0	256	1.1096
0	257	1.0981
0	258	1.0936
0	259	1.0891
0	260	1.0831
0	261	1.107
0	262	1.0944
0	263	1.0887
0	265	1.0948
0	266	1.0987
0	267	1.0793
0	268	1.095
0	271	1.0952
0	272	1.0802
0	273	0
0	274	1.0841
0	275	1.09
0	276	1.0984
0	277	1.0916
0	278	1.0955
0	279	1.095
0	282	1.1063
0	283	1.0931
0	284	1.0917
0	285	1.085
0	286	1.1147
0	288	1.0842
0	289	1.0953
0	290	1.0922
0	291	1.0885
0	292	1.0775
0	294	1.0718
0	295	1.0837
0	296	1.0697
0	297	1.0687
0	298	1.0723
0	299	1.0967
0	300	1.0882
0	302	1.0919
0	303	1.0993
0	304	1.0997
0	305	1.0749
0	306	1.0967
0	307	1.0903
0	308	1.0787
0	310	1.0843
0	311	1.1009
0	312	1.0991
0	313	1.1108
0	314	1.0859
0	315	1.0769
0	316	1.0809
0	317	1.0877
0	318	1.0876
0	319	1.0888
0	320	1.0784
0	321	1.0877
0	322	1.0874
0	323	1.0864
0	324	1.0988
0	326	1.0916
0	327	1.0808
0	328	1.0779
0	329	1.0735
0	330	1.016
0	331	1.1035
0	332	1.1275
0	333	1.1016
0	334	1.1085
0	335	1.0984
0	336	1.0884
0	337	1.0732
0	339	1.091
0	340	1.0839
0	341	1.102
0	342	1.0978
0	343	1.1136
0	344	1.0959
0	345	1.1065
0	346	1.0911
0	347	1.078
0	348	1.1011
0	349	1.104
0	350	1.0997
0	351	1.0756
0	352	1.0953
0	353	1.0816
0	354	1.096
0	355	1.0936
0	356	1.0696
0	357	1.1094
0	358	1.1157
0	359	1.1098
0	360	1.0998
0	361	1.0797
0	362	1.0638
0	363	1.092
0	365	1.0927
0	366	1.0998
0	367	1.1054
0	368	1.114
0	369	1.0801
0	370	1.0778
0	371	1.0797
0	372	1.0948
0	373	1.1016
0	374	1.0841
0	375	1.101
0	376	1.1059
0	377	1.1084
0	378	1.1106
0	379	1.117
0	380	1.0793
0	381	1.0673
0	383	1.0679
0	384	1.0853
0	385	1.0922
0	386	1.1004
0	387	1.0953
0	388	1.1174
0	392	1.0861
0	393	1.0956
0	394	1.0902
0	395	1.0959
0	396	1.0814
0	397	1.0916
0	398	1.1165
0	400	1.0951
0	401	1.0883
0	402	1.0725
0	403	1.0783
0	404	1.0825
0	405	1.0889
0	406	1.0972
0	407	1.1026
0	408	1.0893
0	409	1.1114
0	410	1.0744
0	412	1.0827
0	414	1.0836
0	415	1.0973
0	418	1.1008
0	423	1.1046
0	424	1.1352
0	425	1.0914
0	426	1.0834
0	427	1.1005
0	428	1.0943
0	429	1.083
0	430	1.1049
0	431	1.1265
0	432	1.1056
0	433	1.1034
0	434	1.1119
0	436	1.095
0	439	1.0955
0	440	1.0995
0	441	1.0908
0	442	1.1053
0	444	1.1031
0	445	1.0946
0	447	1.0984
0	449	1.0804
0	450	1.0916
0	451	1.0898
0	453	1.097
0	454	1.0997
0	455	1.105
0	456	1.1126
0	457	1.1049
0	458	1.0951
0	459	1.0848
0	460	1.0888
0	461	1.0927
0	462	1.0962
0	463	1.1044
0	464	1.1128
0	466	1.1132
0	467	1.1114
0	468	1.1002
0	471	1.093
0	472	1.0905
0	473	1.0962
0	474	1.1172
0	475	1.0842
0	476	1.1003
0	477	1.1045
0	478	1.1005
0	479	1.1006
0	480	1.1049
0	481	1.118
0	482	1.0861
0	483	1.1001
0	484	1.0869
0	485	1.0996
0	486	1.0896
0	487	1.1021
0	488	1.0812
0	489	1.0991
0	490	1.0904
0	491	1.0806
0	492	1.0674
0	493	1.0867
0	495	1.0877
0	496	1.0897
0	497	1.0808
0	498	1.0816
0	500	0
0	501	1.0919
0	502	1.0884
0	503	1.0992
0	504	1.0888
0	505	1.0903
0	506	1.1006
0	507	1.0985
0	508	1.0779
0	509	1.0931
0	510	1.1153
0	511	1.0994
0	512	1.1005
0	514	1.0896
0	515	1.0949
0	516	1.0932
0	517	1.0806
0	518	1.0864
0	519	1.0794
0	520	1.0854
0	521	1.0882
0	522	1.1003
0	523	1.1043
0	524	1.0872
0	525	1.1131
0	526	1.0867
0	527	1.097
0	528	1.0897
0	529	1.0862
0	530	1.0775
0	531	1.0965
0	532	1.0949
0	533	1.0958
0	534	1.1003
0	535	1.1043
0	537	1.0889
0	538	1.0899
0	539	1.0825
0	540	1.0887
0	541	1.0774
0	542	1.0893
0	543	1.0738
0	544	1.0733
0	545	1.0794
0	546	1.0852
0	547	1.085
0	548	1.0948
0	549	1.0798
0	550	1.0816
0	551	1.0747
0	552	1.096
0	553	1.1014
0	554	1.0938
0	556	1.0875
0	558	1.0707
0	559	1.0734
0	560	1.0984
0	561	1.0932
0	562	1.0962
0	563	1.1088
0	565	1.0878
0	566	1.0791
0	567	1.0947
0	568	1.0885
0	569	1.0755
0	570	1.0768
0	571	1.0981
0	572	1.0894
0	574	1.0829
0	575	1.0993
0	576	1.0984
0	577	1.0743
0	579	1.0885
0	580	1.102
0	581	1.1035
0	582	1.1024
0	583	1.1081
0	584	1.0978
0	585	1.0982
0	586	1.077
0	588	1.0852
0	589	1.0908
0	590	1.0727
0	591	1.0826
0	592	1.0859
0	593	1.0856
0	594	1.1004
0	595	1.1065
0	596	1.1139
0	597	1.1301
0	598	1.1119
0	599	1.0952
0	600	1.1115
0	601	1.1028
0	602	1.1011
0	603	1.1021
0	604	1.093
0	605	1.1153
0	606	1.1115
0	607	1.0999
0	608	1.0993
0	609	1.0899
0	610	1.1021
0	611	1.1156
0	612	1.1139
0	613	1.0965
0	614	1.0935
0	615	1.0961
0	616	1.099
0	617	1.0921
0	618	1.0675
0	619	1.0975
0	620	1.0682
0	621	1.0995
0	622	1.1038
0	623	1.1051
0	624	1.0943
0	625	1.0947
0	626	1.0827
0	627	1.0689
0	628	1.1038
0	629	1.1031
0	630	1.0939
0	631	1.082
0	632	1.1071
0	633	1.1095
0	634	1.0893
0	635	1.0871
0	636	1.1145
0	637	1.0844
0	638	1.0821
0	639	1.0811
0	640	1.1076
0	641	1.089
0	642	1.1012
0	643	1.1232
0	644	1.1155
0	646	1.1162
0	647	1.1045
0	648	1.0923
0	649	1.1241
0	650	1.1103
0	652	1.103
0	653	1.0991
0	654	1.084
0	655	1.0506
0	656	1.0716
0	657	1.0904
0	658	1.0831
0	659	1.0963
0	661	1.0947
0	662	1.0976
