FID	IID	BLIGHT
0	292	0.6667698
0	454	0.68050743
0	579	0.67357673
0	635	0.6727104
0	220	0.66132426
0	505	0.67469059
0	307	0.67469059
0	588	0.67153465
0	42	0.67184406
0	275	0.67450495
0	80	0
0	178	0.6647896
0	2	0.66571782
0	5	0.67017327
0	6	0.67048267
0	10	0.6477104
0	11	0.6697401
0	13	0.66819307
0	16	0.67308168
0	17	0.67246287
0	18	0.67871287
0	19	0.67846535
0	21	0.68372525
0	27	0.67042079
0	28	0.66794554
0	29	0.66714109
0	35	0.67438119
0	44	0.67667079
0	49	0.67011139
0	51	0.6657797
0	62	0.66311881
0	71	0
0	73	0.66070545
0	88	0.67097772
0	92	0.64597772
0	96	0
0	97	0.66373762
0	112	0.66936881
0	115	0.67190594
0	117	0.6700495
0	130	0.67017327
0	131	0.66509901
0	139	0.66763614
0	141	0.67778465
0	164	0.66522277
0	167	0.66875
0	171	0.6782797
0	180	0.66720297
0	182	0.67215347
0	184	0.68143564
0	190	0.68001238
0	194	0.65544554
0	195	0.65575495
0	205	0.69084158
0	206	0.68292079
0	215	0.6707302
0	228	0.65915842
0	234	0.67363861
0	243	0.66503713
0	260	0.67023515
0	274	0.67085396
0	288	0.67091584
0	295	0.67060644
0	296	0.66194307
0	297	0.66132426
0	300	0.67339109
0	302	0.67568069
0	318	0.6730198
0	321	0.67308168
0	323	0.67227723
0	327	0.66881188
0	346	0.67518564
0	347	0.66707921
0	348	0.68137376
0	352	0.67778465
0	353	0.66930693
0	356	0.66188119
0	359	0.68675743
0	366	0.68056931
0	369	0.66837871
0	373	0.68168317
0	376	0.68434406
0	377	0.68589109
0	381	0.66045792
0	387	0.67778465
0	392	0.67209158
0	395	0.67815594
0	402	0.66367574
0	426	0.67042079
0	429	0.67017327
0	436	0.67759901
0	440	0.68038366
0	458	0.67766089
0	471	0.67636139
0	473	0.67834158
0	474	0.69133663
0	475	0.67091584
0	490	0.67475248
0	493	0.67246287
0	508	0.66701733
0	509	0.67642327
0	523	0.68335396
0	530	0.6667698
0	534	0.68087871
0	48	0.66714109
0	50	0.66639851
0	53	0.6625
0	54	0.67141089
0	55	0.65686881
0	56	0.65928218
0	57	0.6625
0	58	0.65241337
0	60	0.66757426
0	63	0.66596535
0	67	0.66751238
0	68	0.66522277
0	69	0.66188119
0	70	0
0	75	0
0	76	0
0	81	0.66967822
0	83	0.66992574
0	84	0.66113861
0	85	0.67339109
0	86	0.65680693
0	87	0.66633663
0	89	0.6625
0	118	0.66318069
0	119	0.67326733
0	121	0.67493812
0	122	0.67487624
0	125	0.66522277
0	126	0.67617574
0	127	0.66466584
0	128	0.66868812
0	129	0.65804455
0	134	0.6657797
0	136	0.67048267
0	138	0.66497525
0	140	0.6667698
0	142	0.6730198
0	143	0.66503713
0	144	0.66516089
0	146	0.66571782
0	148	0.66621287
0	149	0.68007426
0	152	0.66398515
0	154	0.6575495
0	155	0.66670792
0	156	0.66157178
0	157	0.6522896
0	158	0.65340347
0	160	0.66219059
0	163	0.66485149
0	166	0.66342822
0	168	0.6789604
0	169	0.67518564
0	172	0.67586634
0	173	0.66695545
0	174	0.67871287
0	175	0.66336634
0	176	0.66565594
0	177	0.66813119
0	179	0.67685644
0	181	0.66912129
0	185	0.68347772
0	188	0.67642327
0	1	0.66701733
0	3	0.65866337
