Samples,BLIGHT
1,0.66701733
2,0.66571782
3,0.65866337
5,0.67017327
6,0.67048267
7,0.67524752
8,0.67035891
9,0.67450495
10,0.6477104
11,0.6697401
12,0.66899752
13,0.66819307
14,0.66875
15,0.67097772
16,0.67308168
17,0.67246287
18,0.67871287
19,0.67846535
20,0.67741337
21,0.68372525
22,0.66875
24,0.66429455
25,0.66219059
26,0.67332921
27,0.67042079
28,0.66794554
29,0.66714109
30,0.6772896
31,0.67419554
34,0.66608911
35,0.67438119
36,0.67766089
37,0.67023515
38,0.66844059
39,0.66831683
40,0.65940594
41,0.66293317
42,0.67184406
43,0.66924505
44,0.67667079
45,0.66559406
46,0.67413366
47,0.67308168
48,0.66714109
49,0.67011139
50,0.66639851
51,0.6657797
53,0.6625
54,0.67141089
55,0.65686881
56,0.65928218
57,0.6625
58,0.65241337
60,0.66757426
62,0.66311881
63,0.66596535
65,0.65544554
67,0.66751238
68,0.66522277
69,0.66188119
70,0
71,0
72,0.66058168
73,0.66070545
74,0
75,0
76,0
78,0
80,0
81,0.66967822
82,0.67054455
83,0.66992574
84,0.66113861
85,0.67339109
86,0.65680693
87,0.66633663
88,0.67097772
89,0.6625
90,0.66986386
91,0
92,0.64597772
93,0.66231436
94,0.6615099
95,0.64956683
96,0
97,0.66373762
98,0.65371287
99,0.65556931
100,0.6612005
101,0
104,0.65544554
107,0.67011139
109,0.65575495
110,0.66373762
112,0.66936881
113,0.66064356
115,0.67190594
116,0.67178218
117,0.6700495
118,0.66318069
119,0.67326733
120,0.66856436
121,0.67493812
122,0.67487624
123,0.66157178
124,0.67277228
125,0.66522277
126,0.67617574
127,0.66466584
128,0.66868812
129,0.65804455
130,0.67017327
131,0.66509901
132,0.67462871
133,0.66429455
134,0.6657797
136,0.67048267
138,0.66497525
139,0.66763614
140,0.6667698
141,0.67778465
142,0.6730198
143,0.66503713
144,0.66516089
146,0.66571782
148,0.66621287
149,0.68007426
152,0.66398515
154,0.6575495
155,0.66670792
156,0.66157178
157,0.6522896
158,0.65340347
160,0.66219059
163,0.66485149
164,0.66522277
166,0.66342822
167,0.66875
168,0.6789604
169,0.67518564
171,0.6782797
172,0.67586634
173,0.66695545
