Name,tuber_shape
A97066-42,4.71
ACBrador,3.59
AdirondackBlue,4.07
AF2291-10,2.81
AF2376-5,2.81
AF2574-1,3.73
AllBlue,4.73
AlpineRusset,4.85
Alturas,4.46
Andover,2.54
AO96141-3,5
AO96160-3,5
AO96164-1,5
Atlantic,2.41
AWN86514-2,4.46
B1829-5,2.68
BannockRusset,4.86
BeaconChipper,2.54
Bintje,4.07
BlazerRusset,5
Boulder,2.54
C31-5-115,2
C31-5-120,2
C5,3.32
CanelaRusset,5
Cascade,4.32
CentennialRusset,3.7
Chieftain,3.46
Chipeta,3.05
Chippewa,2.91
ClassicRusset,5
ClearwaterRusset,4.86
CV96022-3,4.59
CV98112-3,5
DakotaCrisp,2.54
DakotaDiamond,2.54
DakotaJewel,2.54
DakotaPearl,2.27
DarkRedNorland,2.91
Defender,4.73
Denali,3.49
EarlyRose,4.73
Elba,2.13
Eramosa,2.95
Eva,2.68
Exploits,2.54
F02018,3.73
F58050,2.73
F66041,4.61
F87084,2.81
FreedomRusset,5
GarnetChile,4.16
GemStarRusset,4.73
GrandFalls,4
GreenMountain,4.32
HighlandRusset,4.59
Hindenburg,3.86
IdaRose,2.95
IncaGold,2.13
IrishCobbler,2.6
IvoryCrisp,2.27
JacquelineLee,4.13
Kalkaska,1.81
Katahdin,3.46
Kennebec,4
KeukaGold,2.54
KingHarry(NY131),2.13
KlamathRusset,4.73
LaChipper,2.54
Lamoka(NY139),2.81
Langlade,2.81
Lehigh,2.68
Lelah(W2717-5),2.68
Liberator,2.81
MaineChip,2.13
Marcy,3.18
MegaChip(W1201),2.54
MichiganPurple,3.36
Missaukee(MSJ461-1),1.81
MN02419,2
MN02467,5
MN02586,1.54
MN15620,4.46
MN18747,4.18
MN19298,2
MN19350,3.73
MN19470,2.41
MN96072-4,2.91
MN99380-1,2.41
Modoc,2.54
Monona,3.22
Monticello,2.46
MountainRose,3.59
MSG227-2,3.46
MSH228-6,2.68
MSI005-20Y,2.41
MSJ126-9Y,2.17
MSJ147-1,3.32
MSK061-4,2.54
MSK409-1,2.95
MSL211-3,3.46
MSL268-D,3.22
MSL292-A,1.54
MSL512-6,2.36
MSL766-1,2.01
MSM051-3,3.08
MSM171-A,3.46
MSM182-1,2.27
MSM246-B,2.13
MSN105-1,2.27
MSN191-2Y,2.68
MSN215-2P,2.78
MSP239-1,2
MSQ070-1,2
MSQ176-5,2
MSQ279-1,2.13
MSR061-1,2
MSR160-2Y,2
MWTX2609-2RU,4.86
ND1215-1,3.18
ND2858-1,3.73
ND8229-3,4.86
ND8555-8R,2.91
ND860-2,2
Nicolet(W2133-1),1.86
Norchip,2.54
NorDonna,2.95
Northstar,3.55
NorValley,2.41
Norwis(FL657),2.54
NY115,2.41
NY121,1.68
NY136,3.46
NY140,3.46
NY142,2.13
NYE48-2,3.46
Ontario,3
OR00002-7,4.96
OR00068-11,2.95
PA99N82-4,3.99
Patagonia,4.13
PeterWilcox,3.32
Pike,2.41
POR01PG1-6,4.76
POR02PG37-2,2.41
PremierRusset,4.59
PrinceHairy(NY235-4),2.08
PurpleMajesty,3.59
PurplePeruvian,5
RangerRusset,5
Reba,3.46
RedMaria(NY129),2.27
ReevesKingpin,5
Rideau,2.68
RioGrandeRusset,4.73
RochdaleGold-Doree,2.13
Rosa,2.95
RussetBurbank,4.64
RussetNorkotah-S3,4.73
RussetNorkotah-S8,4.73
Salem,3.32
Satina,2.85
Sebago,2.81
SierraGold,3.18
SilvertonRusset,5
Snowden,2
Superior,3.36
TrailBlazerRusset(ROND95249-Russ),4.73
Tundra(W2310-3),2.95
UmatillaRusset,5
V1102-1,4.32
V1115-3,4.59
VillettaRose,2.41
W1151rus,5
W2253-5rus,4.73
W2309-7,3.05
W2683-2rus,4.86
W4013-1,2.54
WallowaRusset,5
Waneta(NY138),3.05
WesternRusset,4.73
WhitePearl,2.4
Willamette,1.96
Winema,2.78
YankeeChipper,3.32
YukonGem,3.32
YukonGold,2.68
